Title,Year,Directors,WatchedDate
Mizery,1990,Carmen Oquendo-Villar,2019-10-29
Rosemary's Baby,1968,Roman Polanski,2019-11-20
Howl's Moving Castle,2004,Hayao Miyazaki,2019-11-27
Halloween,1978,John Carpenter,2019-11-29
Mary and Max,2009,Adam Elliot,2019-12-01
Klaus,2019,Sergio Pablos,2019-12-04
Parasite,2019,Bong Joon Ho,2019-12-09
Get Out,2017,Jordan Peele,2019-12-11
Coco,2017,Lee Unkrich,2019-12-29
The Witch,2015,Robert Eggers,2020-01-02
La Belle Verte,1996,Coline Serreau,2020-01-08
Frida,2002,Julie Taymor,2020-01-26
Roma,2018,Alfonso Cuarón,2020-01-30
1917,2019,Sam Mendes,2020-01-31
The Master,2012,Paul Thomas Anderson,2020-02-01
Anomalisa,2015,Duke Johnson,2020-02-04
The Handmaiden,2016,Chan-wook Park,2020-02-05
A Ghost Story,2017,David Lowery,2020-02-08
Hell or High Water,2016,David Mackenzie,2020-02-11
Harakiri,1962,Masaki Kobayashi,2020-02-17
Spider-Man: Into the Spider-Verse,2018,Bob Persichetti,2020-02-20
Melancholia,2011,Lars von Trier,2020-02-25
Loving Vincent,2017,Dorota Kobiela,2020-03-02
Capernaum,2018,Nadine Labaki,2020-03-12
Mulan,1998,Niki Caro,2020-03-20
Mulan II,2004,Darrell Rooney,2020-03-21
Wild Strawberries,1957,Ingmar Bergman,2020-03-25
As Good as It Gets,1997,James L. Brooks,2020-03-26
Come and See,1985,Elem Klimov,2020-04-03
The Lion King II: Simba's Pride,1998,Darrell Rooney,2020-04-05
Before Sunrise,1995,Richard Linklater,2020-04-07
Travellers and Magicians,2003,Khyentse Norbu,2020-04-08
Ran,1985,Akira Kurosawa,2020-04-19
Boy and the World,2013,Alê Abreu,2020-04-21
Before Sunset,2004,Richard Linklater,2020-04-30
Indie Game: The Movie,2012,Lisanne Pajot,2020-05-01
The Shape of Water,2017,Guillermo del Toro,2020-05-07
My Father and My Son,2005,Çagan Irmak,2020-05-15
Gone with the Wind,1939,Victor Fleming,2020-05-22
Stalker,1979,Neil Jordan,2020-05-26
Memories of Murder,2003,Bong Joon Ho,2020-05-31
High and Low,1963,Akira Kurosawa,2020-06-09
The Nightmare Before Christmas,1993,Henry Selick,2020-06-22
Close encounters of the third kind,1977,Steven Spielberg,2020-07-13
Anand,1971,Hrishikesh Mukherjee,2020-07-18
Judgment at Nuremberg,1961,Stanley Kramer,2020-07-24
Dial M for Murder,1954,Andrew Davis,2020-07-25
Ford v Ferrari,2019,James Mangold,2020-07-27
Tokyo Story,1953,Yasujirô Ozu,2020-08-04
Wild Tales,2014,Damián Szifron,2020-08-14
Bacurau,2019,Juliano Dornelles,2020-08-17
Monty Python and the Holy Grail,1975,Terry Gilliam,2020-08-20
Arrival,2016,Denis Villeneuve,2020-08-24
Andhadhun,2018,Sriram Raghavan,2020-09-01
The General,1926,Clyde Bruckman,2020-09-03
Hamilton,2020,Thomas Kail,2020-09-05
Sherlock Jr.,1924,Buster Keaton,2020-09-06
To Be or Not to Be,1942,Ernst Lubitsch,2020-09-14
Incendies,2010,Denis Villeneuve,2020-09-17
Portrait of a Lady on Fire,2019,Céline Sciamma,2020-09-28
John Wick,2014,Chad Stahelski,2020-10-01
Faroeste Caboclo,2013,René Sampaio,2020-10-03
Blue Velvet,1986,David Lynch,2020-10-04
Wild at Heart,1990,David Lynch,2020-10-08
Lost Highway,1997,David Lynch,2020-10-11
Mulholland Drive,2001,David Lynch,2020-10-23
Dune,1984,David Lynch,2020-10-26
The Irishman,2019,Martin Scorsese,2020-10-31
Blade Runner,1982,Ridley Scott,2020-11-29
Lost in Translation,2003,Sofia Coppola,2020-12-04
Annie Hall,1977,Woody Allen,2020-12-11
Star Wars: The Last Jedi,2017,Rian Johnson,2020-12-22
Star Wars: The Rise of Skywalker,2019,J.J. Abrams,2021-01-21
Groundhog Day,1993,Harold Ramis,2021-02-11
Soul,2020,Pete Docter,2021-03-09
Once Upon a Time in Hollywood,2019,Quentin Tarantino,2021-04-15
Sound of Metal,2019,Darius Marder,2021-05-03
Nomadland,2020,Chloé Zhao,2021-05-07
Minari,2020,Lee Isaac Chung,2021-05-14
Another Round,2020,Thomas Vinterberg,2021-05-16
The Father,2020,Florian Zeller,2021-06-10
Judas and the Black Messiah,2021,Shaka King,2021-06-11
American Psycho,2000,Mary Harron,2021-07-22
Antichrist,2009,Lars von Trier,2021-08-03
The SpongeBob Movie: Sponge on the Run,2020,Tim Hill,2021-09-25
At Eternity's Gate,2018,Julian Schnabel,2021-10-17
Dune,2021,Denis Villeneuve,2021-10-19
Mulan,2020,Niki Caro,2021-10-24
Midsommar,2019,Ari Aster,2021-10-26
Marighella,2019,Wagner Moura,2021-11-01
How the Grinch Stole Christmas,2000,Ron Howard,2021-11-14
Mr. Bean's Holiday,2007,Steve Bendelack,2021-12-03
Me Before You,2016,Thea Sharrock,2021-12-09
Abraham,1993,Joseph Sargent,2022-01-05
Don't Look Up,2021,Adam McKay,2022-02-05
We Need to Talk About Kevin,2011,Lynne Ramsay,2022-02-07
The Power of the Dog,2021,Jane Campion,2022-02-21
Parallel Mothers,2021,Pedro Almodóvar,2022-03-09
Baby Driver,2017,Edgar Wright,2022-03-22
Shrek,2001,Andrew Adamson,2022-04-20
Shrek 2,2004,Andrew Adamson,2022-05-06
Shrek the Third,2007,Chris Miller,2022-05-16
Shrek Forever After,2010,Mike Mitchell,2022-05-26
The Lost Daughter,2021,Maggie Gyllenhaal,2022-06-03
The Lighthouse,2019,Robert Eggers,2022-06-04
The Batman,2022,Matt Reeves,2022-06-11
Spider-Man: Far From Home,2019,Jon Watts,2022-06-28
A Whisker Away,2020,Junichi Sato,2022-07-09
Eyes Wide Shut,1999,Stanley Kubrick,2022-08-13
Girl Interrupted,1999,James Mangold,2022-08-23
Gremlins,1984,Joe Dante,2022-09-17
Encanto,2021,Jared Bush,2022-10-03
White Chicks,2004,Keenen Ivory Wayans,2022-10-06
Frozen,2013,Chris Buck,2022-10-16
Frozen II,2019,Chris Buck,2022-11-10
Cruella,2021,Craig Gillespie,2022-11-15
Blonde,2022,Andrew Dominik,2022-11-27
The Northman,2022,Robert Eggers,2022-12-01
Guillermo del Toro's Pinocchio,2022,Guillermo del Toro,2022-12-10
Spider-Man: No Way Home,2021,Jon Watts,2022-12-27
Twelve Monkeys,1996,Terry Gilliam,2023-01-05
Everything Everywhere All at Once,2022,Daniel Kwan,2023-02-23
The Pursuit of Happyness,2006,Gabriele Muccino,2023-02-24
RRR,2022,S. S. Rajamouli,2023-03-01
Noah,2014,Darren Aronofsky,2023-03-10
Perfume: The Story of a Murderer,2006,Tom Tykwer,2023-03-21
Pokémon: Detective Pikachu,2019,Rob Letterman,2023-05-16
Moonlight,2016,Barry Jenkins,2023-05-20
The Super Mario Bros. Movie,2023,Aaron Horvath,2023-05-25
Barbie (2023),2023,Greta Gerwig,2023-06-03
Oppenheimer,2023,Christopher Nolan,2023-09-28
Cidade de Deus (reprise),2002,Fernando Meirelles,2023-10-11
Retratos Fantasmas,2023,Kleber Mendonça Filho,2023-12-06
Aquarius,2016,Kleber Mendonça Filho,2023-12-08
O Som ao Redor,2012,Kleber Mendonça Filho,2024-01-02
Chico - Artista Brasileiro,2015,Miguel Faria Jr.,2024-01-05
The Killer,2023,David Fincher,2024-01-23
Society of the Snow,2023,J. A. Bayona,2024-01-27
Poor Things,2023,Yorgos Lanthimos,2024-02-08
Naked Lunch,1991,David Cronenberg,2024-02-17
