title,beat_date,year_I_played,plataform,score
Nier: Automata, 26/10/2022, 2022,Nintendo Switch, 3
Bayonetta 2, 29/10/2022, 2022,Nintendo Switch, 3
Kirby and the Forgotten Land, 05/11/2022, 2022,Nintendo Switch, 3
God of War Ragnarök, 25/11/2022, 2022,PlayStation 5, 4
Call of Duty: Vanguard, 06/01/2023, 2023,PlayStation 5, 3
Elden Ring, 11/01/2023, 2023,PlayStation 5, 4
Pistol Whip, 17/02/2023, 2023,Meta Quest 2, 4
Half-Life: Alyx, 21/02/2023, 2023,Meta Quest 2, 5
Tekken 7, 22/02/2023, 2023,PlayStation 5, 3
Tekken 2, 25/02/2023, 2023,PlayStation 5, 3
Before Your Eyes, 15/03/2023, 2023,PC, 4
DOOM (2016), 15/03/2023, 2023,PlayStation 5, 3
Hogwarts Legacy, 19/03/2023, 2023,PlayStation 5, 3
Resident Evil 4 (2023), 04/04/2023, 2023,PlayStation 5, 3
Call of Duty: Modern Warfare (2019), 06/04/2023, 2023,PlayStation 5, 3
Call of Duty: Black Ops Cold War, 08/04/2023, 2023,PlayStation 5, 3
Wolfenstein: The New Order, 13/04/2023, 2023,PlayStation 5, 3
Call of Duty: Modern Warfare 2 (2022), 15/04/2023, 2023,PlayStation 5, 3
Uncharted: Drake's Fortune, 19/04/2023, 2023,PlayStation 5, 3
Uncharted 2: Among Thieves, 22/02/2023, 2023,PlayStation 5, 3
